customerid;personid;storeid;territoryid
15842;3399;NULL;1
15843;17158;NULL;1
15844;11673;NULL;4
15845;9964;NULL;1
15846;13340;NULL;6
15847;4248;NULL;6
15848;10446;NULL;1
15849;20050;NULL;1
15850;19739;NULL;6
15851;12144;NULL;1
15852;13371;NULL;4
15853;11388;NULL;4
15854;7266;NULL;4
15855;17290;NULL;4
15856;5452;NULL;6
15857;11232;NULL;4
15858;16203;NULL;4
15859;3943;NULL;6
15860;11044;NULL;1
15861;7752;NULL;4
15862;16434;NULL;4
15863;16757;NULL;6
15864;3703;NULL;6
15865;7467;NULL;4
15866;12053;NULL;6
15867;11815;NULL;1
15868;5581;NULL;6
15869;10741;NULL;1
15870;8567;NULL;1
15871;6594;NULL;1
15872;9853;NULL;6
15873;3161;NULL;4
15874;17677;NULL;6
15875;15334;NULL;4
15876;5065;NULL;6
15877;15900;NULL;4
15878;5806;NULL;6
15879;18575;NULL;6
15880;15147;NULL;1
15881;11480;NULL;6
15882;9048;NULL;1
15883;12867;NULL;4
15884;12940;NULL;4
15885;15269;NULL;1
15886;18821;NULL;4
15887;9813;NULL;1
15888;3006;NULL;1
15889;17147;NULL;6
15890;6376;NULL;4
15891;16571;NULL;4
15892;15543;NULL;1
15893;3619;NULL;1
15894;13982;NULL;1
15895;9796;NULL;4
15896;17759;NULL;4
15897;3388;NULL;4
15898;16298;NULL;1
15899;14034;NULL;4
15900;3817;NULL;6
15901;3603;NULL;1
15902;6169;NULL;1
15903;3955;NULL;4
15904;12789;NULL;4
15905;12143;NULL;6
15906;11156;NULL;6
15907;15166;NULL;1
15908;17880;NULL;4
15909;6815;NULL;4
15910;5550;NULL;4
15911;10339;NULL;1
15912;7319;NULL;4
15913;13207;NULL;6
15914;6469;NULL;1
15915;14768;NULL;4
15916;18467;NULL;6
15917;12245;NULL;6
15918;14787;NULL;1
15919;9846;NULL;10
15920;13435;NULL;7
15921;20026;NULL;7
15922;13294;NULL;10
15923;17017;NULL;7
15924;12675;NULL;7
15925;4046;NULL;7
15926;4632;NULL;8
15927;8741;NULL;8
15928;8788;NULL;8
15929;3539;NULL;10
15930;20683;NULL;7
15931;6581;NULL;7
15932;10428;NULL;8
15933;14628;NULL;10
15934;16626;NULL;1
15935;10515;NULL;1
15936;12034;NULL;1
15937;11330;NULL;1
15938;15796;NULL;1
15939;11085;NULL;1
15940;5202;NULL;1
15941;7900;NULL;4
15942;4804;NULL;6
15943;14096;NULL;6
15944;7963;NULL;1
15945;8003;NULL;1
15946;3761;NULL;4
15947;8751;NULL;4
15948;7663;NULL;4
15949;10208;NULL;4
15950;8205;NULL;1
15951;10352;NULL;1
15952;14637;NULL;1
15953;6997;NULL;4
15954;11280;NULL;4
15955;6881;NULL;4
15956;6582;NULL;4
15957;5989;NULL;4
15958;19954;NULL;1
15959;17803;NULL;1
15960;19275;NULL;4
15961;12450;NULL;4
15962;18171;NULL;1
15963;12313;NULL;1
15964;14801;NULL;4
15965;20479;NULL;4
15966;2749;NULL;1
15967;12978;NULL;1
15968;3734;NULL;4
15969;15083;NULL;1
15970;17690;NULL;4
15971;6547;NULL;1
15972;8854;NULL;4
15973;18244;NULL;1
15974;4656;NULL;6
15975;9403;NULL;1
15976;16092;NULL;1
15977;11056;NULL;1
15978;4410;NULL;1
15979;19894;NULL;1
15980;3302;NULL;1
15981;5843;NULL;1
15982;15610;NULL;4
15983;12748;NULL;4
15984;17127;NULL;4
15985;4912;NULL;4
15986;15290;NULL;4
15987;19939;NULL;1
15988;4239;NULL;1
15989;9756;NULL;4
15990;14741;NULL;4
15991;17926;NULL;1
15992;7529;NULL;4
15993;13145;NULL;6
15994;19341;NULL;1
15995;11117;NULL;4
15996;12986;NULL;6
15997;7331;NULL;6
15998;7073;NULL;4
15999;10690;NULL;1
16000;3319;NULL;6
16001;17010;NULL;4
16002;7804;NULL;1
16003;11509;NULL;4
16004;11026;NULL;1
16005;16676;NULL;6
16006;7135;NULL;4
16007;18548;NULL;1
16008;10908;NULL;1
16009;18847;NULL;6
16010;19951;NULL;4
16011;3231;NULL;6
16012;19604;NULL;6
16013;4378;NULL;1
16014;18091;NULL;4
16015;3477;NULL;4
16016;20274;NULL;9
16017;14587;NULL;4
16018;19542;NULL;4
16019;10456;NULL;4
16020;5720;NULL;6
16021;9524;NULL;6
16022;4959;NULL;1
16023;13332;NULL;9
16024;16689;NULL;1
16025;18313;NULL;9
16026;19594;NULL;9
16027;14378;NULL;9
16028;14669;NULL;9
16029;3472;NULL;9
16030;2620;NULL;9
16031;4735;NULL;9
16032;13503;NULL;9
16033;2479;NULL;10
16034;15525;NULL;8
16035;14956;NULL;10
16036;3274;NULL;10
16037;8014;NULL;8
16038;11100;NULL;10
16039;6512;NULL;8
16040;19161;NULL;7
16041;11656;NULL;7
16042;4732;NULL;7
16043;14525;NULL;10
16044;19891;NULL;8
16045;3111;NULL;10
16046;12833;NULL;10
16047;12129;NULL;8
16048;12056;NULL;8
16049;7781;NULL;8
16050;7750;NULL;10
16051;5190;NULL;7
16052;14761;NULL;7
16053;7896;NULL;10
16054;14740;NULL;10
16055;18022;NULL;8
16056;16651;NULL;7
16057;8997;NULL;8
16058;17692;NULL;10
16059;18400;NULL;8
16060;13227;NULL;4
16061;13566;NULL;4
16062;10800;NULL;1
16063;16680;NULL;4
16064;2667;NULL;4
16065;8138;NULL;4
16066;14534;NULL;4
16067;3280;NULL;1
16068;16883;NULL;1
16069;11744;NULL;4
16070;9679;NULL;4
16071;12164;NULL;6
16072;15627;NULL;1
16073;7291;NULL;1
16074;15966;NULL;1
16075;11991;NULL;1
16076;9053;NULL;1
16077;3068;NULL;4
16078;19933;NULL;4
16079;9933;NULL;4
16080;13379;NULL;4
16081;10185;NULL;4
16082;5949;NULL;1
16083;4558;NULL;6
16084;10597;NULL;1
16085;12844;NULL;6
16086;14092;NULL;4
16087;6551;NULL;4
16088;14242;NULL;1
16089;14161;NULL;6
16090;11868;NULL;6
16091;11559;NULL;4
16092;3529;NULL;1
16093;20551;NULL;4
16094;11946;NULL;4
16095;4630;NULL;4
16096;2607;NULL;6
16097;3460;NULL;6
16098;19879;NULL;6
16099;13328;NULL;1
16100;17207;NULL;4
16101;10642;NULL;4
16102;13851;NULL;4
16103;10693;NULL;6
16104;10462;NULL;1
16105;14316;NULL;1
16106;13865;NULL;6
16107;9357;NULL;1
16108;14848;NULL;1
16109;16039;NULL;6
16110;6904;NULL;6
16111;10246;NULL;1
16112;18338;NULL;4
16113;13296;NULL;4
16114;13281;NULL;4
16115;20543;NULL;4
16116;13415;NULL;4
16117;9390;NULL;1
16118;17118;NULL;4
16119;3172;NULL;1
16120;14553;NULL;4
16121;20607;NULL;6
16122;16094;NULL;4
16123;2736;NULL;6
16124;15119;NULL;6
16125;19417;NULL;6
16126;8012;NULL;4
16127;9334;NULL;4
16128;20036;NULL;6
16129;6888;NULL;1
16130;1739;NULL;4
16131;14910;NULL;4
16132;9905;NULL;6
16133;6969;NULL;6
16134;11147;NULL;1
16135;18945;NULL;1
16136;20197;NULL;1
16137;17102;NULL;1
16138;6670;NULL;4
16139;7761;NULL;4
16140;4318;NULL;6
16141;8322;NULL;4
16142;10511;NULL;1
16143;9310;NULL;4
16144;14181;NULL;1
16145;10764;NULL;1
16146;6378;NULL;1
16147;5967;NULL;4
16148;11161;NULL;4
16149;13460;NULL;6
16150;11460;NULL;4
16151;20228;NULL;1
16152;9277;NULL;4
16153;5324;NULL;1
16154;10132;NULL;4
16155;7181;NULL;9
16156;13622;NULL;9
16157;7320;NULL;9
16158;18547;NULL;9
16159;4571;NULL;9
16160;18692;NULL;9
16161;4685;NULL;9
16162;9224;NULL;9
16163;13402;NULL;9
16164;20722;NULL;9
16165;11438;NULL;9
16166;20559;NULL;9
16167;4920;NULL;9
16168;19935;NULL;9
16169;17900;NULL;9
16170;12767;NULL;9
16171;10844;NULL;9
16172;18609;NULL;9
16173;19338;NULL;9
16174;14051;NULL;9
16175;17184;NULL;9
16176;9019;NULL;9
16177;17297;NULL;9
16178;2826;NULL;9
16179;2450;NULL;9
16180;15873;NULL;9
16181;6284;NULL;9
16182;13044;NULL;9
16183;14044;NULL;9
16184;19860;NULL;9
16185;9309;NULL;9
16186;16274;NULL;7
16187;13060;NULL;10
16188;15208;NULL;10
16189;3042;NULL;10
16190;14847;NULL;10
16191;17737;NULL;10
16192;10070;NULL;10
16193;19260;NULL;10
16194;20599;NULL;7
16195;18149;NULL;7
16196;4170;NULL;8
16197;15259;NULL;8
16198;10964;NULL;10
16199;4243;NULL;8
16200;9322;NULL;10
16201;11792;NULL;10
16202;2616;NULL;7
16203;3078;NULL;7
16204;4295;NULL;7
16205;8062;NULL;7
16206;11021;NULL;8
16207;5180;NULL;8
16208;3259;NULL;8
16209;9991;NULL;7
16210;19312;NULL;4
16211;15998;NULL;1
16212;8935;NULL;4
16213;9629;NULL;6
16214;19521;NULL;1
16215;16022;NULL;1
16216;4897;NULL;1
16217;3055;NULL;1
16218;20419;NULL;1
16219;14223;NULL;6
16220;19177;NULL;6
16221;10180;NULL;1
16222;18230;NULL;4
16223;15783;NULL;4
16224;18703;NULL;4
16225;3810;NULL;4
16226;3230;NULL;1
16227;16585;NULL;4
16228;12817;NULL;4
16229;9133;NULL;1
16230;19077;NULL;4
16231;18825;NULL;1
16232;14718;NULL;1
16233;10506;NULL;4
16234;3774;NULL;4
16235;15320;NULL;4
16236;19010;NULL;1
16237;8383;NULL;1
16238;7247;NULL;4
16239;16334;NULL;4
16240;10217;NULL;4
16241;7483;NULL;6
16242;11694;NULL;4
16243;3248;NULL;6
16244;2586;NULL;4
16245;2827;NULL;4
16246;13931;NULL;1
16247;12176;NULL;6
16248;20182;NULL;1
16249;15200;NULL;4
16250;9352;NULL;10
16251;8582;NULL;10
16252;14751;NULL;8
16253;17275;NULL;8
16254;3222;NULL;7
16255;3606;NULL;7
16256;4597;NULL;10
16257;10139;NULL;7
16258;9733;NULL;7
16259;9632;NULL;7
16260;15074;NULL;10
16261;18656;NULL;7
16262;19905;NULL;7
16263;5031;NULL;8
16264;20467;NULL;10
16265;19968;NULL;7
16266;11947;NULL;7
16267;13123;NULL;8
16268;20660;NULL;7
16269;20015;NULL;8
16270;7695;NULL;8
16271;9017;NULL;8
16272;9490;NULL;10
16273;10072;NULL;7
16274;11798;NULL;8
16275;8841;NULL;10
16276;18499;NULL;8
16277;11396;NULL;10
16278;16046;NULL;8
16279;19453;NULL;8
16280;5706;NULL;8
16281;9282;NULL;7
16282;6327;NULL;10
16283;12671;NULL;7
16284;15830;NULL;8
16285;4537;NULL;7
16286;15755;NULL;7
16287;2398;NULL;10
16288;13178;NULL;7
16289;19960;NULL;7
16290;16875;NULL;8
16291;20661;NULL;7
16292;4496;NULL;8
16293;16767;NULL;10
16294;6541;NULL;10
16295;13250;NULL;7
16296;10771;NULL;7
16297;9757;NULL;8
16298;7137;NULL;8
16299;16640;NULL;8
16300;18621;NULL;10
16301;12719;NULL;7
16302;4990;NULL;7
16303;16416;NULL;8
16304;18058;NULL;8
16305;4058;NULL;8
16306;6306;NULL;10
16307;12074;NULL;8
16308;8696;NULL;10
16309;13886;NULL;8
16310;18681;NULL;7
16311;16978;NULL;10
16312;16273;NULL;7
16313;3212;NULL;8
16314;5837;NULL;10
16315;14728;NULL;7
16316;12087;NULL;8
16317;20085;NULL;10
16318;15937;NULL;10
16319;14346;NULL;7
16320;19774;NULL;7
16321;3263;NULL;10
16322;16507;NULL;7
16323;2567;NULL;7
16324;12496;NULL;10
16325;11850;NULL;10
16326;18382;NULL;8
16327;10206;NULL;8
16328;9080;NULL;10
16329;2449;NULL;10
16330;5107;NULL;7
16331;8475;NULL;6
16332;13676;NULL;9
16333;16665;NULL;1
16334;2696;NULL;1
16335;2509;NULL;4
16336;17122;NULL;4
16337;17367;NULL;4
16338;11534;NULL;9
16339;4304;NULL;9
16340;16544;NULL;4
16341;11319;NULL;9
16342;2589;NULL;9
16343;20073;NULL;9
16344;4419;NULL;4
16345;2558;NULL;9
16346;15698;NULL;9
16347;9511;NULL;9
16348;11118;NULL;9
16349;7910;NULL;9
16350;3860;NULL;9
16351;4916;NULL;9
16352;2674;NULL;9
16353;12530;NULL;1
16354;8678;NULL;1
16355;12543;NULL;4
16356;10345;NULL;4
16357;7086;NULL;4
16358;6033;NULL;6
16359;8472;NULL;1
16360;18076;NULL;1
16361;3772;NULL;4
16362;18757;NULL;4
16363;8327;NULL;6
16364;3563;NULL;4
16365;11003;NULL;6
16366;7507;NULL;6
16367;12221;NULL;1
16368;11618;NULL;1
16369;7478;NULL;1
16370;16164;NULL;6
16371;5568;NULL;4
16372;7417;NULL;4
16373;9172;NULL;1
16374;3744;NULL;1
16375;10468;NULL;4
16376;10559;NULL;1
16377;10297;NULL;4
16378;10336;NULL;1
16379;15686;NULL;4
16380;8148;NULL;6
16381;11951;NULL;1
16382;11087;NULL;1
16383;14183;NULL;4
16384;9111;NULL;4
16385;16547;NULL;4
16386;19190;NULL;10
16387;19411;NULL;10
16388;10337;NULL;7
16389;10269;NULL;8
16390;16826;NULL;8
16391;7794;NULL;7
16392;10500;NULL;7
16393;4449;NULL;7
16394;15028;NULL;7
16395;20001;NULL;7
16396;20516;NULL;8
16397;2741;NULL;8
16398;7975;NULL;7
16399;10331;NULL;8
16400;6760;NULL;7
16401;17725;NULL;10
16402;18304;NULL;10
16403;19834;NULL;7
16404;9529;NULL;7
16405;3147;NULL;10
16406;12946;NULL;10
16407;12271;NULL;10
16408;10907;NULL;7
16409;9682;NULL;8
16410;14080;NULL;10
16411;4062;NULL;8
16412;17470;NULL;7
16413;10378;NULL;8
16414;7555;NULL;8
16415;16047;NULL;7
16416;15207;NULL;7
16417;6113;NULL;10
16418;16356;NULL;7
16419;12411;NULL;8
16420;6681;NULL;10
16421;18738;NULL;7
16422;4137;NULL;8
16423;7819;NULL;7
16424;18470;NULL;7
16425;2426;NULL;7
16426;18297;NULL;7
16427;15145;NULL;10
16428;6544;NULL;10
16429;12970;NULL;8
16430;8484;NULL;7
16431;8037;NULL;7
16432;18205;NULL;7
16433;14532;NULL;7
16434;3550;NULL;8
16435;14665;NULL;10
16436;6489;NULL;7
16437;18386;NULL;10
16438;3215;NULL;7
16439;12203;NULL;7
16440;15620;NULL;7
16441;16896;NULL;8
16442;16283;NULL;8
16443;12182;NULL;10
16444;18722;NULL;10
16445;8644;NULL;10
16446;6300;NULL;10
16447;4623;NULL;10
16448;6167;NULL;8
16449;19163;NULL;10
16450;9904;NULL;7
16451;5115;NULL;8
16452;8883;NULL;10
16453;3376;NULL;10
16454;3848;NULL;10
16455;5921;NULL;7
16456;18432;NULL;8
16457;18546;NULL;8
16458;8999;NULL;8
16459;9930;NULL;10
16460;4693;NULL;10
16461;4956;NULL;10
16462;7080;NULL;8
16463;3627;NULL;8
16464;17304;NULL;10
16465;16573;NULL;10
16466;12003;NULL;8
16467;20123;NULL;10
16468;18880;NULL;7
16469;8382;NULL;7
16470;18117;NULL;10
16471;7428;NULL;7
16472;11778;NULL;7
16473;12227;NULL;8
16474;10349;NULL;8
16475;4181;NULL;8
16476;20367;NULL;7
16477;3681;NULL;1
16478;14506;NULL;4
16479;19418;NULL;6
16480;17310;NULL;9
16481;12505;NULL;9
16482;10375;NULL;9
16483;19122;NULL;9
16484;2560;NULL;9
16485;13889;NULL;4
16486;15502;NULL;9
16487;19280;NULL;9
16488;20100;NULL;9
16489;7884;NULL;9
16490;11698;NULL;4
16491;18211;NULL;6
16492;6768;NULL;9
16493;15377;NULL;9
16494;6880;NULL;9
16495;13787;NULL;9
16496;12207;NULL;9
16497;20363;NULL;6
16498;17892;NULL;1
16499;7976;NULL;1
16500;20299;NULL;1
16501;7395;NULL;1
16502;15576;NULL;1
16503;18129;NULL;4
16504;6629;NULL;4
16505;8266;NULL;4
16506;8791;NULL;6
16507;16437;NULL;7
16508;18011;NULL;7
16509;18975;NULL;10
16510;9413;NULL;7
16511;11013;NULL;10
16512;17006;NULL;10
16513;5559;NULL;7
16514;15940;NULL;9
16515;15798;NULL;9
16516;4351;NULL;9
16517;16362;NULL;9
16518;17360;NULL;9
16519;3645;NULL;9
16520;16488;NULL;9
16521;8440;NULL;9
16522;16300;NULL;9
16523;17649;NULL;9
16524;6665;NULL;9
16525;4926;NULL;9
16526;10934;NULL;9
16527;19328;NULL;9
16528;7498;NULL;9
16529;14487;NULL;9
16530;8797;NULL;10
16531;12386;NULL;10
16532;4203;NULL;7
16533;2518;NULL;7
16534;5895;NULL;8
16535;13422;NULL;7
16536;18787;NULL;7
16537;10968;NULL;8
16538;17620;NULL;8
16539;11334;NULL;8
16540;6752;NULL;8
16541;5372;NULL;10
16542;18408;NULL;10
16543;11461;NULL;10
16544;14972;NULL;7
16545;19793;NULL;7
16546;8048;NULL;10
16547;5394;NULL;7
16548;10254;NULL;7
16549;13806;NULL;8
16550;7866;NULL;10
16551;11403;NULL;7
16552;11032;NULL;8
16553;9566;NULL;10
16554;16309;NULL;10
16555;14536;NULL;7
16556;7156;NULL;8
16557;20259;NULL;7
16558;3980;NULL;8
16559;15432;NULL;7
16560;18402;NULL;7
16561;4141;NULL;10
16562;12247;NULL;10
16563;10361;NULL;10
16564;17749;NULL;10
16565;20482;NULL;8
16566;8932;NULL;7
16567;2995;NULL;8
16568;6779;NULL;8
16569;12256;NULL;7
16570;19937;NULL;7
16571;6027;NULL;10
16572;13583;NULL;8
16573;11271;NULL;10
16574;11037;NULL;10
16575;18973;NULL;10
16576;20478;NULL;7
16577;17440;NULL;7
16578;7355;NULL;8
16579;18335;NULL;10
16580;12152;NULL;7
16581;2625;NULL;7
16582;18343;NULL;8
16583;18084;NULL;8
16584;14511;NULL;10
16585;17959;NULL;10
16586;5221;NULL;7
16587;18574;NULL;8
16588;16080;NULL;10
16589;16725;NULL;10
16590;20365;NULL;10
16591;6892;NULL;10
16592;6341;NULL;7
16593;5040;NULL;10
16594;18869;NULL;10
16595;17657;NULL;10
16596;9945;NULL;7
16597;12072;NULL;8
16598;4617;NULL;10
16599;6441;NULL;10
16600;6272;NULL;7
16601;10388;NULL;10
16602;15097;NULL;10
16603;1740;NULL;8
16604;11173;NULL;8
16605;3348;NULL;9
16606;15605;NULL;9
16607;6467;NULL;9
16608;15572;NULL;9
16609;19022;NULL;9
16610;10784;NULL;9
16611;18539;NULL;9
16612;9686;NULL;9
16613;8881;NULL;9
16614;16636;NULL;9
16615;3205;NULL;9
16616;19123;NULL;9
16617;4878;NULL;9
16618;19632;NULL;9
16619;18924;NULL;9
16620;17515;NULL;9
16621;1741;NULL;9
16622;19678;NULL;9
16623;5070;NULL;9
16624;14897;NULL;9
16625;9258;NULL;9
16626;14951;NULL;9
16627;5851;NULL;9
16628;16700;NULL;9
16629;4984;NULL;9
16630;9439;NULL;9
16631;3395;NULL;9
16632;11264;NULL;9
16633;12140;NULL;9
16634;11472;NULL;9
16635;2954;NULL;9
16636;14743;NULL;9
16637;17015;NULL;9
16638;17904;NULL;9
16639;15007;NULL;9
16640;13494;NULL;9
16641;20349;NULL;4
16642;16535;NULL;1
16643;3845;NULL;6
16644;5232;NULL;4
16645;18947;NULL;4
16646;4450;NULL;6
16647;3683;NULL;4
16648;19753;NULL;4
16649;9469;NULL;6
16650;10198;NULL;1
16651;12062;NULL;1
16652;19911;NULL;4
16653;9647;NULL;1
16654;2626;NULL;6
16655;11492;NULL;4
16656;5558;NULL;9
16657;4809;NULL;9
16658;8962;NULL;9
16659;12222;NULL;9
16660;14419;NULL;9
16661;19385;NULL;9
16662;17616;NULL;9
16663;4966;NULL;9
16664;9893;NULL;9
16665;13833;NULL;9
16666;3564;NULL;6
16667;9505;NULL;6
16668;7907;NULL;3
16669;18195;NULL;1
16670;12476;NULL;1
16671;19132;NULL;1
16672;11463;NULL;1
16673;18269;NULL;4
16674;16999;NULL;9
16675;10689;NULL;9
16676;3037;NULL;4
16677;5193;NULL;4
16678;14576;NULL;6
16679;9952;NULL;9
16680;15707;NULL;9
16681;13104;NULL;9
16682;14341;NULL;9
16683;11420;NULL;9
16684;20105;NULL;9
16685;13738;NULL;9
16686;6302;NULL;9
16687;14446;NULL;9
16688;10415;NULL;9
16689;12842;NULL;9
16690;5798;NULL;9
16691;15047;NULL;9
16692;10313;NULL;9
16693;6491;NULL;9
16694;5761;NULL;9
16695;20603;NULL;9
16696;5898;NULL;9
16697;13673;NULL;9
16698;5969;NULL;9
16699;8211;NULL;9
16700;15758;NULL;9
16701;2409;NULL;9
16702;19671;NULL;9
16703;16269;NULL;9
16704;3516;NULL;9
16705;7730;NULL;9
16706;11498;NULL;9
16707;19126;NULL;9
16708;16209;NULL;9
16709;11150;NULL;9
16710;7537;NULL;9
16711;18299;NULL;9
16712;5021;NULL;9
16713;17194;NULL;9
16714;4507;NULL;4
16715;8290;NULL;4
16716;6195;NULL;1
16717;9624;NULL;6
16718;13303;NULL;4
16719;12849;NULL;4
16720;20723;NULL;4
16721;14276;NULL;6
16722;14479;NULL;1
16723;11556;NULL;4
16724;5877;NULL;4
16725;18676;NULL;1
16726;13541;NULL;4
16727;4838;NULL;1
16728;15321;NULL;1
16729;4223;NULL;9
16730;8089;NULL;9
16731;11453;NULL;6
16732;2739;NULL;1
16733;19423;NULL;9
16734;11878;NULL;9
16735;7357;NULL;1
16736;7568;NULL;1
16737;1742;NULL;1
16738;6422;NULL;9
16739;19322;NULL;9
16740;5369;NULL;9
16741;17317;NULL;9
16742;17142;NULL;9
16743;9463;NULL;9
16744;12392;NULL;9
16745;14217;NULL;9
16746;19218;NULL;1
16747;18189;NULL;1
16748;14410;NULL;4
16749;5488;NULL;4
16750;14275;NULL;4
16751;16591;NULL;1
16752;17201;NULL;4
16753;11360;NULL;1
16754;14997;NULL;6
16755;19331;NULL;1
16756;4559;NULL;1
16757;8495;NULL;1
16758;6606;NULL;6
16759;19799;NULL;4
16760;2905;NULL;4
16761;14890;NULL;1
16762;8597;NULL;1
16763;12721;NULL;6
16764;17380;NULL;6
16765;4471;NULL;1
16766;3033;NULL;4
16767;12790;NULL;4
16768;13729;NULL;4
16769;18646;NULL;4
16770;15396;NULL;4
16771;4731;NULL;6
16772;9773;NULL;6
16773;6688;NULL;1
16774;13736;NULL;1
16775;12647;NULL;4
16776;4483;NULL;1
16777;6305;NULL;1
16778;13626;NULL;4
16779;20697;NULL;4
16780;15131;NULL;1
16781;6987;NULL;4
16782;4803;NULL;1
16783;19639;NULL;1
16784;20302;NULL;6
16785;18095;NULL;1
16786;15464;NULL;4
16787;11452;NULL;4
16788;5587;NULL;4
16789;11099;NULL;1
16790;17221;NULL;1
16791;5199;NULL;6
16792;3241;NULL;4
16793;10474;NULL;4
16794;3545;NULL;1
16795;7668;NULL;4
16796;11141;NULL;1
16797;15419;NULL;1
16798;6121;NULL;4
16799;3134;NULL;4
16800;9559;NULL;6
16801;19846;NULL;1
16802;4812;NULL;1
16803;14447;NULL;1
16804;5258;NULL;1
16805;3876;NULL;1
16806;13035;NULL;4
16807;7574;NULL;4
16808;3518;NULL;4
16809;8017;NULL;4
16810;18752;NULL;6
16811;5466;NULL;1
16812;8461;NULL;4
16813;13272;NULL;4
16814;9385;NULL;4
16815;18682;NULL;4
16816;11045;NULL;4
16817;14399;NULL;4
16818;3300;NULL;4
16819;14822;NULL;1
16820;2414;NULL;6
16821;9950;NULL;8
16822;10906;NULL;10
16823;18600;NULL;10
16824;14962;NULL;8
16825;17783;NULL;8
16826;14820;NULL;8
16827;18036;NULL;10
16828;16466;NULL;10
16829;9113;NULL;10
16830;10858;NULL;8
16831;6750;NULL;10
16832;15581;NULL;1
16833;14678;NULL;4
16834;20691;NULL;6
16835;16323;NULL;1
16836;17938;NULL;6
16837;11919;NULL;6
16838;6424;NULL;4
16839;20390;NULL;4
16840;14385;NULL;6
16841;16004;NULL;6
16842;11439;NULL;4
16843;15664;NULL;4
16844;11883;NULL;4
16845;10314;NULL;4
16846;16064;NULL;6
16847;5041;NULL;6
16848;12099;NULL;6
16849;15736;NULL;6
16850;3513;NULL;1
16851;5820;NULL;4
16852;4576;NULL;4
16853;8851;NULL;4
16854;4350;NULL;4
16855;3105;NULL;6
16856;8925;NULL;1
16857;14440;NULL;1
16858;10659;NULL;1
16859;5222;NULL;1
16860;3375;NULL;4
16861;5477;NULL;4
16862;16381;NULL;4
16863;11149;NULL;1
16864;19621;NULL;1
16865;6891;NULL;4
16866;9777;NULL;4
16867;10529;NULL;4
16868;4391;NULL;4
16869;7406;NULL;4
16870;9233;NULL;6
16871;11608;NULL;4
16872;17817;NULL;4
16873;10947;NULL;6
16874;18520;NULL;4
16875;12551;NULL;4
16876;4830;NULL;6
16877;10305;NULL;1
16878;4958;NULL;1
16879;11180;NULL;1
16880;8116;NULL;4
16881;11261;NULL;4
16882;16936;NULL;1
16883;18540;NULL;4
16884;5086;NULL;1
16885;15517;NULL;1
16886;12916;NULL;1
16887;14607;NULL;4
16888;7707;NULL;4
16889;18660;NULL;4
16890;15428;NULL;1
16891;2751;NULL;4
16892;9288;NULL;4
16893;14835;NULL;1
16894;12073;NULL;1
16895;20319;NULL;4
16896;10045;NULL;4
16897;3714;NULL;4
16898;15414;NULL;4
16899;18923;NULL;1
16900;4066;NULL;4
16901;15588;NULL;4
16902;20364;NULL;6
16903;4741;NULL;4
16904;8875;NULL;4
16905;9442;NULL;4
16906;7198;NULL;6
16907;11899;NULL;4
16908;10680;NULL;1
16909;11024;NULL;4
16910;6575;NULL;6
16911;5549;NULL;1
16912;13463;NULL;1
16913;13836;NULL;1
16914;9714;NULL;1
16915;16132;NULL;1
16916;6197;NULL;5
16917;19512;NULL;4
16918;8538;NULL;1
16919;3234;NULL;9
16920;15848;NULL;4
16921;13196;NULL;6
16922;11865;NULL;1
16923;5608;NULL;1
16924;20381;NULL;4
16925;13153;NULL;4
16926;13707;NULL;9
16927;9872;NULL;9
16928;15837;NULL;9
16929;10187;NULL;9
16930;2508;NULL;9
16931;4485;NULL;9
16932;17136;NULL;10
16933;20033;NULL;10
16934;9024;NULL;10
16935;10836;NULL;10
16936;1743;NULL;7
16937;19089;NULL;7
16938;12035;NULL;10
16939;9301;NULL;8
16940;11476;NULL;8
16941;20704;NULL;8
16942;20600;NULL;7
16943;18991;NULL;8
16944;12567;NULL;8
16945;19231;NULL;10
16946;15187;NULL;10
16947;9446;NULL;4
16948;11888;NULL;6
16949;5444;NULL;4
16950;15695;NULL;6
16951;6809;NULL;1
16952;17432;NULL;6
16953;8667;NULL;4
16954;3840;NULL;1
16955;15016;NULL;6
16956;6251;NULL;1
16957;4306;NULL;1
16958;11710;NULL;6
16959;13262;NULL;6
16960;8278;NULL;1
16961;7816;NULL;4
16962;7012;NULL;4
16963;7822;NULL;4
16964;13277;NULL;6
16965;9589;NULL;4
16966;3063;NULL;4
16967;17002;NULL;1
16968;13901;NULL;4
16969;16041;NULL;4
16970;2979;NULL;1
16971;7119;NULL;1
16972;4814;NULL;1
16973;9395;NULL;4
16974;8937;NULL;1
16975;17929;NULL;1
16976;17665;NULL;4
16977;16662;NULL;4
16978;14629;NULL;1
16979;20552;NULL;4
16980;11394;NULL;1
16981;6057;NULL;1
16982;15333;NULL;4
16983;15754;NULL;4
16984;13671;NULL;4
16985;5264;NULL;1
16986;10303;NULL;1
16987;4097;NULL;6
16988;15148;NULL;4
16989;19505;NULL;1
16990;7039;NULL;4
16991;19244;NULL;1
16992;14104;NULL;4
16993;16874;NULL;1
16994;9805;NULL;4
16995;12170;NULL;6
16996;11518;NULL;6
16997;10913;NULL;4
16998;10607;NULL;1
16999;20276;NULL;4
17000;7271;NULL;4
17001;12419;NULL;1
17002;18511;NULL;1
17003;13986;NULL;4
17004;14228;NULL;4
17005;8818;NULL;4
17006;17886;NULL;1
